## jsm_assets2.obj_new
Table	Non_unique	Key_name	Seq_in_index	Column_name	Collation	Cardinality	Sub_part	Packed	Null	Index_type	Comment	Index_comment	Visible	Expression	Clustered	Global
obj_new	1	idx_fts_1	1	text_value_1	A	5754880	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_20	1	text_value_20	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_22	1	text_value_22	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_4	1	text_value_4	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_5	1	text_value_5	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_7	1	text_value_7	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_label	1	label	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
## jsm_assets3.obj_new
Table	Non_unique	Key_name	Seq_in_index	Column_name	Collation	Cardinality	Sub_part	Packed	Null	Index_type	Comment	Index_comment	Visible	Expression	Clustered	Global
obj_new	1	idx_fts_1	1	text_value_1	A	8667136	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_20	1	text_value_20	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_22	1	text_value_22	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_4	1	text_value_4	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_5	1	text_value_5	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_7	1	text_value_7	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_label	1	label	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
## jsm_assets4.obj_new
Table	Non_unique	Key_name	Seq_in_index	Column_name	Collation	Cardinality	Sub_part	Packed	Null	Index_type	Comment	Index_comment	Visible	Expression	Clustered	Global
obj_new	1	idx_fts_1	1	text_value_1	A	5272576	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_20	1	text_value_20	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_22	1	text_value_22	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_4	1	text_value_4	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_5	1	text_value_5	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_7	1	text_value_7	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_external_id	1	external_id	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_label	1	label	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_text_value_10	1	text_value_10	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_text_value_100	1	text_value_100	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_text_value_101	1	text_value_101	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_text_value_102	1	text_value_102	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_text_value_103	1	text_value_103	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_text_value_104	1	text_value_104	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_text_value_105	1	text_value_105	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_text_value_106	1	text_value_106	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_text_value_107	1	text_value_107	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_text_value_108	1	text_value_108	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_text_value_109	1	text_value_109	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_text_value_11	1	text_value_11	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_text_value_110	1	text_value_110	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_text_value_111	1	text_value_111	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_text_value_112	1	text_value_112	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_text_value_113	1	text_value_113	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_text_value_114	1	text_value_114	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_text_value_115	1	text_value_115	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_text_value_116	1	text_value_116	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_text_value_117	1	text_value_117	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_text_value_118	1	text_value_118	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_text_value_119	1	text_value_119	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_text_value_12	1	text_value_12	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_text_value_120	1	text_value_120	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_text_value_121	1	text_value_121	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_text_value_122	1	text_value_122	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_text_value_13	1	text_value_13	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_text_value_14	1	text_value_14	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_text_value_15	1	text_value_15	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_text_value_16	1	text_value_16	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_text_value_17	1	text_value_17	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_text_value_18	1	text_value_18	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_text_value_19	1	text_value_19	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_text_value_2	1	text_value_2	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_text_value_21	1	text_value_21	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_text_value_23	1	text_value_23	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_text_value_24	1	text_value_24	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
